store_id,name,slncatch,access,link,price,seats,review
slnH000526501,THE SKY,7/10予約◎【トレンド×似合わせ】平日カット+カラー￥4400/雨&汗対策に髪質改善TR/メンズにも人気サロン♪,"
							北鉄浅野川線「大河端駅」より徒歩5分【髪質改善・酸性ストレート・ブリーチ】",https://beauty.hotpepper.jp/slnH000526501/?cstt=1,3960.0,15.0,359.0
slnH000725360,hair & beauty RENO 直江店【ヘアー アンド ビューティ レノ】,【NEW OPEN！】幅広い世代、性別からの支持を得ているサロン♪９時～２２時まで営業しております◎,"
							金沢駅から車で13分[髪質改善/トリートメント/ブリーチ/ダブルカラー/韓国/ボブ人気]",https://beauty.hotpepper.jp/slnH000725360/?cstt=2,4500.0,10.0,154.0
slnH000549634,TAP【タップ】,【TAP県庁近く】カット+髪質改善7900円大人女性に向けたお洒落ヘア【トレンド×ダメージケアが得意】,"
							金沢駅より車で13分",https://beauty.hotpepper.jp/slnH000549634/?cstt=3,1000.0,5.0,462.0
slnH000488629,ｆａ／ｄｉｎ　【フェーディン】,レイヤーカット、デザインカラーが得意な人気店☆HOT PEPPER Beauty AWARD2025 BESTサロン部門注目サロン,"
							◆石川県庁から車で5分。アルビス大友店敷地内◆口コミ4.8◆ご新規様多数ご来店◎",https://beauty.hotpepper.jp/slnH000488629/?cstt=4,4500.0,5.0,146.0
slnH000546829,K・O・S　pink【ケーオーエスピンク】,"【ハイクオリティーなのに超お得！】カット＋アディクシーカラー￥6,600　☆新規クーポン3回目まで利用可☆","
							国道８号線を東に進み、南新保交差点を過ぎて左手[金沢市/美容院/髪質改善/縮毛矯正]",https://beauty.hotpepper.jp/slnH000546829/?cstt=5,3800.0,10.0,369.0
slnH000318751,nambu-CENTRAL【ナンブセントラル】,【本気の提案をしています】徹底された教育で【技術と質】３６５日のキレイを約束します☆,"
							8号線沿いＴＳＵＴＡＹＡ近く　TEL076-222-7772",https://beauty.hotpepper.jp/slnH000318751/?cstt=6,6050.0,12.0,159.0
slnH000736452,互感　近岡店【ゴカン】,〈2024年12月〉人気サロン《互感》が近岡にOPEN★全店クチコミ合計5500件突破！髪質改善はgokan♪,"
							JR金沢駅から車で15分",https://beauty.hotpepper.jp/slnH000736452/?cstt=7,3490.0,7.0,160.0
slnH000438989,1st END.  髪質改善【ファーストエンド】,"当日予約OK◎高技術×高コスパ！！新規限定【カット＋天使の艶カラー￥5,900】手軽に行ける！！","
							三ツ屋セブンイレブン横【サラつや縮毛矯正￥7,700】髪質改善,脱白髪染め,縮毛矯正]",https://beauty.hotpepper.jp/slnH000438989/?cstt=8,3500.0,18.0,258.0
slnH000646296,scene【シーン】,当日予約ok◎顔周りの悩み解決♪手入れ簡単似合わせレイヤーカット◎/ショートヘア/髪質改善/透明感カラー/,"
							【金沢駅西口】西念車で5分。レイヤーカット/縮毛矯正/ハイライト/透明感/髪質改善",https://beauty.hotpepper.jp/slnH000646296/?cstt=9,4000.0,6.0,191.0
slnH000506855,_WHITE　金沢店【アンダーバーホワイト】,"当日予約OK♪学割U24有,メンズOK,カット￥3300～,カットカラー￥5800,インナーカラー人気白髪染めもお得","
							金沢駅から車で10分 国道8号線沿い 是空 金沢店近く",https://beauty.hotpepper.jp/slnH000506855/?cstt=10,3000.0,5.0,597.0
slnH000075629,アーベンフィール　金沢松村店 ,※コロナ対策実施中※　アルコール消毒、店内換気！お客様マスク着用しながら施術OK！,"
							示野イオン近く",https://beauty.hotpepper.jp/slnH000075629/?cstt=11,3740.0,10.0,68.0
slnH000489406,Re.3 connecting beauty【リースリー】,【半個室・ペア席】アットホームなスタッフたち◎ケアブリーチを使用したデザインカラーや髪質改善が人気♪,"
							県庁から車で5分程、金沢駅から１０分 　[髪質改善/透明感カラー/レイヤーカット]",https://beauty.hotpepper.jp/slnH000489406/?cstt=12,3630.0,11.0,120.0
slnH000460819,BE HERE NOW 金沢県庁店【ビーヒアナウ】 ,《全席個室/女性スタイリスト専門》360度綺麗な小顔に魅せるショート&ボブ×髪質改善艶カラー［金沢/県庁］,"
							【石川県庁エリア】備長扇屋横, ローソン 金沢藤江北店向かい/スタバ金沢藤江店近く*",https://beauty.hotpepper.jp/slnH000460819/?cstt=13,1100.0,4.0,616.0
